player,rating,games_played,win_prob_vs_avg,elo_equivalent
Vicky Pruim,1.7336735993978838,298,0.849881710971972,1801.16995105594
Daniel Klose,1.7177280904921726,271,0.8478359685472625,1798.399932444384
Jannis Barkhausen,1.699611080171945,151,0.8454839329254114,1795.2526854001203
Adam Hunt,1.6931966456348813,1155,0.8446440874432319,1794.1383839905297
Jamie Atkins,1.691399192542662,251,0.8444080786947115,1793.8261344067575
Jason Lowe,1.6907964745387534,242,0.8443288753110855,1793.721431565461
Robyn Byrne,1.6828755082930915,349,0.843284920472781,1792.3454187927277
Dylan Slevin,1.6801657228817546,441,0.8429264743086069,1791.8746808522137
Jason Hogg,1.6783230864309115,148,0.8426823524127904,1791.5545821151118
Jim Williams,1.6763406692459244,657,0.8424193671647723,1791.2102009774037
Jamie Hughes,1.6707352055857227,834,0.8416738185300401,1790.2364322029498
Kirk Shepherd,1.6703221585881771,882,0.8416187685312017,1790.1646785902294
Ryan Branley,1.6694998826378196,172,0.8415091311372856,1790.0218346270926
Leighton Bennett,1.667077382222774,248,0.8411857712313829,1789.6010032020276
Christian Kist,1.6614393550496849,965,0.8404311247357377,1788.6215775659903
Pascal Rupprecht,1.660432950470845,117,0.840296112944629,1788.4467471839293
Danny Baggish,1.6562218605340628,125,0.8397301806033198,1787.7152059349924
Steve Brown,1.6553010708771738,930,0.8396062188276023,1787.5552483882
Phil Taylor+Adrian Lewis,1.6547085387227893,35,0.8395264078770576,1787.4523150102002
James Wilson,1.6496650261144037,792,0.8388457726066114,1786.5761671321077
David Platt,1.6470354479770932,356,0.8384899801052981,1786.1193626222007
Nigel Heydon,1.646184096170575,535,0.8383746529568417,1785.971467665509
Patrick Geeraets,1.6415730029758806,107,0.8377488625691144,1785.17043873351
Raymond Smith,1.6412381189746303,96,0.8377033380761728,1785.1122634239819
Christian Bunse,1.6411624307569586,284,0.8376930475113551,1785.0991150338698
Jose de Sousa,1.6396854014353337,669,0.8374921253946092,1784.8425287602736
Vincent van der Voort,1.6198817095571898,1982,0.8347788154656088,1781.4022751186774
Michael van Gerwen+Raymond van Barneveld,1.6197093092853019,37,0.8347550361055706,1781.3723261239736
Terry Jenkins,1.6177444315061904,1654,0.8344838243973195,1781.0309918931407
Peter Machin,1.6150910431030436,94,0.8341170115385306,1780.5700511164075
Krzysztof Kciuk,1.6134840469262268,279,0.8338945387873578,1780.290887287595
Gordon Mathers,1.6083894077877856,327,0.8331876567871793,1779.4058578215497
Leonard Gates,1.6065489420484713,88,0.8329317009577677,1779.0861361756633
John Henderson,1.6007376560140705,1363,0.8321214574869171,1778.0766123926626
Thomas Sykes,1.5981541179807908,270,0.8317602395278936,1777.6278058680064
Paige Pauling,1.5916777923017906,175,0.8308520257626562,1776.502752865847
Jitse van der Wal,1.584138239251291,409,0.8297897953934917,1775.1929983515076
Kurt Parry,1.5770368758781423,617,0.8287844578948943,1773.9593651807281
Wayne Jones,1.5732877473873166,1693,0.8282517976743424,1773.3080748545235
Mitchell Lawrie,1.5720097065107783,38,0.8280699191149705,1773.0860564143925
Martin Atkins (Wigan),1.5704505042745018,205,0.8278478217288534,1772.8151952434382
Joe Hunt,1.5698982178793865,99,0.8277690979360353,1772.7192532699066
William Borland,1.5683904640715316,509,0.8275540351257631,1772.4573296063786
Tony West,1.5670298436659433,327,0.8273597766806692,1772.2209656327339
John O'Shea,1.5651987742964306,388,0.8270980780375804,1771.9028763034692
Andy Hamilton,1.5637482303238153,1818,0.8268905418838027,1771.6508910062432
Marvin van Velzen,1.5624067540676416,346,0.8266984353070552,1771.417852711979
Lee Cocks,1.5618693554689416,300,0.8266214296956697,1771.32449701358
Justin Pipe,1.5597090480260174,1191,0.8263115993027684,1770.9492131729094
Scott Rand,1.558548088067783,362,0.826144914342941,1770.7475337714807
Liam Maendl-Lawrance,1.5556716309179959,96,0.8257313825892418,1770.2478419844472
Boris Koltsov,1.5498947096151738,381,0.8248985241131026,1769.2442879667651
Darin Young,1.548728594734591,233,0.8247300255532868,1769.0417130636042
Carl Wilson,1.5474717714989799,137,0.8245482770858898,1768.8233805052228
Jeffrey de Zwaan,1.5470386721997502,1037,0.8244856124891102,1768.748143450914
Yordi Meeuwisse,1.5401910264488965,327,0.8234924931290659,1767.5585855454644
Gavin Carlin,1.5372529240452801,239,0.8230650263053169,1767.0481848810016
Radek Szaganski,1.5364268346749363,371,0.82294469163753,1766.9046784589618
Mark Walsh,1.5323027396617248,1478,0.822342982718895,1766.188249776129
Justin Smith,1.5295375724678935,562,0.8219386454723981,1765.7078910346004
Angela Kirkwood,1.527790488357382,187,0.8216828062562341,1765.404391439154
